Lead_ID,IČO,Company_Name,CZ_NACE_Section,CZ_NACE_Section_Label,Industry,Region_Code,Region_Name,Legal_Form_Code,Legal_Form_Label,Founding_Year,Company_Age_Years,Size_Band,NumberOfEmployees,Annual_Revenue_MCZK__c,LeadSource,Status,Rating,Owner,Web_Interactions__c,Email_Opens__c,Email_Clicks__c,Emails_Sent__c,Email_Open_Rate__c,Form_Submissions__c,Demo_Requested__c,Time_to_First_Response_h__c,Calls_Made__c,Meetings_Held__c,Proposal_Sent__c,Content_Downloads__c,Chatbot_Interactions__c,LinkedIn_Viewed__c,Days_Since_Last_Activity__c,CreatedDate,LastActivityDate,Days_in_Pipeline__c,Rule_Based_Score,Rule_Based_Segment,Conversion_Probability,Win_Probability__c,Converted,Closed_Won,IČO_Duplicate_Flag
00Q0000001,25384660,"Řempo LYRA, s.r.o.",G,Wholesale & Retail,Retail,CZ071,Olomoucký,112,s.r.o.,1997,29,Small,11,54.79,Web,Working,Warm,Eva Šimánek,0,1,0,7,0.2716,0,False,70.9,0,0,False,1,0,True,0,2025-02-18,2025-02-24,6,40,Medium,0.084949,0.19,0,0,0
00Q0000002,25041461,JIVEL s.r.o.,C,Manufacturing,Manufacturing,CZ042,Ústecký,112,s.r.o.,1998,28,Small,44,89.08,Web,Contacted,Hot,Pavel Kratochvíl,0,2,0,5,0.4489,0,True,18.1,1,1,False,0,0,True,22,2022-12-06,2022-12-27,21,60,High,0.542537,0.36,1,1,0
00Q0000003,46966803,"FCC Únanov, s.r.o.",E,Water & Waste,Utilities,CZ064,Jihomoravský,112,s.r.o.,1992,34,Small,48,61.49,Web,Working,Warm,Jana Procházková,0,4,0,8,0.5478,2,False,31.4,2,0,False,0,0,True,9,2024-04-26,2024-05-12,16,42,Medium,0.117054,0.192,0,0,0
00Q0000004,28302354,ZARÁMÍ a.s.,L,Real Estate,Real Estate,CZ072,Zlínský,121,a.s.,2008,18,Small,38,28.3,Cold Call,Nurturing,Hot,Tomáš Dvořák,0,4,1,8,0.5653,1,True,32.9,2,1,False,1,0,False,11,2022-09-06,2023-01-22,138,56,Medium,0.775563,0.356,0,0,0
00Q0000005,28826868,METAX CZ s.r.o.,C,Manufacturing,Manufacturing,CZ052,Královéhradecký,112,s.r.o.,2011,15,Small,27,89.39,Web,Converted,Hot,Martin Novák,0,6,2,13,0.4875,2,False,21.1,3,1,True,0,2,True,0,2022-05-25,2022-09-20,118,58,Medium,0.984491,0.558,1,1,0
00Q0000006,06331823,Necesito s.r.o.,M,Professional & Scientific,Consulting,CZ010,Praha,112,s.r.o.,2017,9,Small,15,19.3,LinkedIn,Qualified,Warm,Pavel Kratochvíl,6,0,0,9,0.0832,2,True,47.8,0,0,True,2,1,True,4,2025-02-07,2025-03-31,72,100,High,0.99451,0.45,1,1,0
00Q0000007,02131293,RZ-PRAKTIK s.r.o.,Q,Healthcare,Healthcare,CZ053,Pardubický,112,s.r.o.,2014,12,Small,17,46.67,Other,Contacted,Warm,Tomáš Dvořák,0,4,0,12,0.3918,1,False,104.2,1,0,False,3,2,False,29,2024-09-03,2024-10-19,46,31,Medium,0.051426,0.181,0,0,0
00Q0000008,07157835,V&MTU s.r.o.,I,Accommodation & Food,Hospitality,CZ052,Královéhradecký,112,s.r.o.,2018,8,Small,19,19.31,Web,New,Cold,Jana Procházková,11,2,1,6,0.3652,0,True,34.9,5,1,False,1,0,False,25,2023-03-26,2023-03-26,0,59,Medium,0.253872,0.159,0,0,0
00Q0000009,64361462,"GRAMMER CZ, s.r.o.",C,Manufacturing,Manufacturing,CZ032,Plzeňský,112,s.r.o.,1995,31,Small,16,60.17,Referral,Contacted,Cold,Tomáš Dvořák,6,2,0,6,0.3935,0,False,32.6,3,0,False,1,2,True,14,2022-09-10,2022-10-10,30,54,Medium,0.120246,0.104,0,0,0
00Q0000010,07453990,BEAUTY EMPIRE s.r.o.,S,Other Services,Other,CZ010,Praha,112,s.r.o.,2018,8,Small,23,45.86,Email Campaign,Qualified,Warm,Pavel Kratochvíl,3,0,0,4,0.2242,0,True,70.0,4,0,False,3,0,False,2,2022-04-21,2022-05-26,35,71,High,0.707441,0.221,0,0,0
