IČO,Obchodní jméno/název,Datum platnosti,Statistická právní forma (kód),Statistická právní forma (název),Velikostní kategorie dle počtu zaměstnanců (kód),Velikostní kategorie dle počtu zaměstnanců (název),Kraj (kód),Kraj (název),Obec (kód),Obec (název),Datum vzniku,Hlavní ekonomická činnost (CZ NACE2025) (kód),Hlavní ekonomická činnost (CZ NACE2025) (název)
00000795,"STROJIMPORT a.s.",2026-04-30,121,"Akciová společnost",210,"10 - 19 zaměstnanců",CZ010,"Hlavní město Praha",500097,"Praha 3",1990-01-26,46620,"Velkoobchod s obráběcími stroji"
00000884,"FERROMET a.s.",2026-04-30,121,"Akciová společnost",310,"100 - 199 zaměstnanců",CZ064,"Jihomoravský kraj",586722,"Veselí nad Moravou",1990-01-26,2410,"Výroba surového železa, oceli a feroslitin"
00000914,"LIGNA a.s.",2026-04-30,121,"Akciová společnost",210,"10 - 19 zaměstnanců",CZ010,"Hlavní město Praha",500054,"Praha 1",1990-03-23,68200,"Pronájem a správa vlastních nebo pronajatých nemovitostí"
00000931,"METALIMEX a. s.",2026-04-30,121,"Akciová společnost",310,"100 - 199 zaměstnanců",CZ010,"Hlavní město Praha",500054,"Praha 1",1990-01-26,46820,"Velkoobchod s rudami, kovy a hutními výrobky"
00001040,"Rapid, akciová společnost",2026-04-30,121,"Akciová společnost",130,"6 - 9 zaměstnanců",CZ010,"Hlavní město Praha",500178,"Praha 6",1972-01-01,731,"Reklamní činnosti"
00001082,"Česká námořní plavba a.s.",2026-04-30,121,"Akciová společnost",210,"10 - 19 zaměstnanců",CZ010,"Hlavní město Praha",500224,"Praha 10",1980-01-01,68200,"Pronájem a správa vlastních nebo pronajatých nemovitostí"
00001350,"Československá obchodní banka, a. s.",2026-04-30,121,"Akciová společnost",470,"5000 - 9999 zaměstnanců",CZ010,"Hlavní město Praha",500143,"Praha 5",1990-01-26,64190,"Ostatní peněžní zprostředkování"
00005622,"Okresní stavební bytové družstvo Česká Lípa",2026-04-30,205,"Družstvo",310,"100 - 199 zaměstnanců",CZ051,"Liberecký kraj",561380,"Česká Lípa",1985-05-01,68200,"Pronájem a správa vlastních nebo pronajatých nemovitostí"
00005797,"Okresní stavební bytové družstvo Louny",2026-04-30,205,"Družstvo",220,"20 - 24 zaměstnanci",CZ042,"Ústecký kraj",566985,"Žatec",1981-12-01,68200,"Pronájem a správa vlastních nebo pronajatých nemovitostí"
00005886,"Dopravní podnik hl. m. Prahy, akciová společnost",2026-04-30,121,"Akciová společnost",510,"10 000 a více zaměstnanců",CZ010,"Hlavní město Praha",500216,"Praha 9",1991-04-01,49120,"Ostatní kolejová osobní doprava"
00006548,"SKF CZ, a.s.",2026-04-30,121,"Akciová společnost",240,"50 - 99 zaměstnanců",CZ010,"Hlavní město Praha",500186,"Praha 7",1973-01-01,461,"Zprostředkování v oblasti velkoobchodu za provizi"
00008648,"Chart Ferox, a.s.",2026-04-30,121,"Akciová společnost",340,"500 - 999 zaměstnanců",CZ042,"Ústecký kraj",562335,"Děčín",1988-05-01,25220,"Výroba ostatních kovových cisteren, nádrží a podobných nádob"
00008702,"Slovácké strojírny, akciová společnost",2026-04-30,121,"Akciová společnost",330,"250 - 499 zaměstnanců",CZ072,"Zlínský kraj",592731,"Uherský Brod",1991-01-01,28220,"Výroba zdvihacích a manipulačních zařízení"
00008753,"Ammann Czech Republic s.r.o.",2026-04-30,112,"Společnost s ručením omezeným",340,"500 - 999 zaměstnanců",CZ052,"Královéhradecký kraj",574279,"Nové Město nad Metují",1985-07-01,28920,"Výroba strojů pro těžbu, dobývání a stavebnictví"
00009415,"InStar Technologies a.s.",2026-04-30,121,"Akciová společnost",210,"10 - 19 zaměstnanců",CZ051,"Liberecký kraj",556904,"Liberec (nečleněné město)",1991-10-01,21200,"Výroba farmaceutických přípravků"
00009971,"AGROSTROJ Pelhřimov, a.s.",2026-04-30,121,"Akciová společnost",420,"1500 - 1999 zaměstnanců",CZ063,"Kraj Vysočina",547492,"Pelhřimov",1991-10-01,28300,"Výroba zemědělských a lesnických strojů"
00010235,"KOVOLIT, a.s.",2026-04-30,121,"Akciová společnost",330,"250 - 499 zaměstnanců",CZ064,"Jihomoravský kraj",583391,"Modřice",1991-01-01,24530,"Odlévání lehkých kovů"
